Data de Produção,Cód. Ordem,Cód. Recurso,Cód. Produto,Qtd. Produzida,Qtd. Refugada,Qtd. Retrabalhada,Fator Un.,Cód. Un.,Descrição da massa (Composto),Consumo de massa no item( em Kg)
2023-02-13,2667042,IJ-046,SA05780,427,4,0,1,PC,N-142/67,0.517
2023-02-13,2667042,IJ-046,SA05780,532,12,0,1,PC,N-142/67,0.517
2023-02-12,2667042,IJ-046,SA05780,81,0,0,1,PC,N-142/67,0.517
2023-02-12,2667042,IJ-046,SA05780,8,0,0,1,PC,N-142/67,0.517
2023-02-21,2668951,IJ-046,SA02961,138,0,0,1,PC,P212/1,1.36
2023-02-20,2668951,IJ-046,SA02961,280,12,0,1,PC,P212/1,1.36
2023-02-20,2668951,IJ-046,SA02961,271,22,0,1,PC,P212/1,1.36
2023-02-20,2668951,IJ-046,SA02961,376,26,0,1,PC,P212/1,1.36
2023-02-19,2668951,IJ-046,SA02961,133,11,0,1,PC,P212/1,1.36
2023-02-19,2668951,IJ-046,SA02961,21,0,0,1,PC,P212/1,1.36
2023-02-17,2668951,IJ-046,SA02961,228,0,0,1,PC,P212/1,1.36
2023-02-17,2668951,IJ-046,SA02961,375,18,0,1,PC,P212/1,1.36
2023-02-17,2668951,IJ-046,SA02961,450,17,0,1,PC,P212/1,1.36
2023-02-16,2668951,IJ-046,SA02961,258,0,0,1,PC,P212/1,1.36
2023-02-16,2668951,IJ-046,SA02961,384,26,0,1,PC,P212/1,1.36
2023-02-16,2668951,IJ-046,SA02961,437,20,0,1,PC,P212/1,1.36
2023-02-15,2668951,IJ-046,SA02961,208,22,0,1,PC,P212/1,1.36
2023-02-15,2668951,IJ-046,SA02961,239,33,0,1,PC,P212/1,1.36
2023-02-15,2669041,IJ-046,SA02004,497,0,0,1,PC,P212/1,0.62
