equipamento,ultima_producao,data_ref,dias_ociosidade
IJ-044,30/03/2026,27/04/2026,28.0
IJ-046,31/03/2026,27/04/2026,27.0
IJ-117,31/03/2026,27/04/2026,27.0
IJ-118,31/03/2026,27/04/2026,27.0
IJ-119,31/03/2026,27/04/2026,27.0
IJ-120,31/03/2026,27/04/2026,27.0
IJ-121,31/03/2026,27/04/2026,27.0
IJ-122,30/03/2026,27/04/2026,28.0
IJ-123,31/03/2026,27/04/2026,27.0
IJ-124,31/03/2026,27/04/2026,27.0
IJ-125,31/03/2026,27/04/2026,27.0
IJ-129,31/03/2026,27/04/2026,27.0
IJ-130,20/03/2026,27/04/2026,38.0
IJ-131,31/03/2026,27/04/2026,27.0
IJ-132,31/03/2026,27/04/2026,27.0
IJ-133,31/03/2026,27/04/2026,27.0
IJ-134,31/03/2026,27/04/2026,27.0
IJ-135,31/03/2026,27/04/2026,27.0
IJ-136,31/03/2026,27/04/2026,27.0
IJ-137,30/03/2026,27/04/2026,28.0
IJ-138,31/03/2026,27/04/2026,27.0
IJ-139,31/03/2026,27/04/2026,27.0
IJ-151,31/03/2026,27/04/2026,27.0
IJ-152,30/01/2026,27/04/2026,87.0
IJ-155 (Inferior),,27/04/2026,
IJ-155 (Superior),,27/04/2026,
IJ-156,31/03/2026,27/04/2026,27.0
IJ-164,31/03/2026,27/04/2026,27.0
